PublishTime,ListNumber,Writer,RealBookPrice,EBookPrice,Discount,BookUrl,BookName,NowBookPrice,Publisher,Tuijian
2013-04-01,407.,克罗宁布里斯陈宏淑,¥32.80,,6.8折,http://product.dangdang.com/23251414.html, 蚯蚓的日记,¥22.30,明天出版社,99.6%推荐
2011-04-01,408.,艾克拜尔吾拉木赵世杰,¥66.00,,5.9折,http://product.dangdang.com/21054899.html,阿凡提经典故事系列丛书（全4册）,¥38.90,新疆青少年出版社,99.8%推荐
2015-12-01,409.,君之,¥29.80,,5.5折,http://product.dangdang.com/20740393.html,跟着君之学烘焙,¥16.40,北京科学技术出版社,99.6%推荐
2009-08-01,410.,舒尔迪吉若尼张雪兰,¥22.00,,5.6折,http://product.dangdang.com/20647714.html,如何培养孩子的社会能力（全美畅销书 获4项美国大奖的经典之作）,¥12.40,京华出版社,99.1%推荐
2015-12-01,411.,郑渊洁,¥100.00,¥80.00,5.9折,http://product.dangdang.com/23812468.html,郑渊洁四大名传（全4册）,¥59.00,浙江少年儿童出版社,99.8%推荐
2014-08-01,412.,瑟努斯尔纳吴雨娜,¥29.80,,6.8折,http://product.dangdang.com/23528897.html,幼儿园的一天,¥20.40,北京科学技术出版社,99.7%推荐
2014-05-01,413.,宋鸿兵,¥46.00,,6.9折,http://product.dangdang.com/23461677.html,货币战争3：金融高边疆（百万册升级版）（金融边疆安全则国家安全,¥31.70,长江文艺出版社,99.7%推荐
2014-04-01,414.,史蒂夫比达尔夫丰俊功宋修华,¥32.00,,7.5折,http://product.dangdang.com/23457691.html,养育男孩（典藏版）,¥24.00,中信出版社,99.5%推荐
2014-05-01,415.,芭芭拉明托汪洱,¥98.00,,5.0折,http://product.dangdang.com/23456389.html,金字塔原理大全集（麦肯锡40年经典培训教材）,¥49.40,南海出版社,99.7%推荐
2012-06-01,416.,柏拉图黄颖,¥35.00,,6.7折,http://product.dangdang.com/22765017.html,理想国,¥23.50,中国华侨出版社,99.3%推荐
2011-04-01,417.,杨澜朱冰,¥32.00,¥5.00,6.8折,http://product.dangdang.com/21061075.html,一问一世界,¥21.90,江苏人民出版社,99.1%推荐
2016-06-01,418.,蜜糖,¥38.00,,6.5折,http://product.dangdang.com/23960707.html,厨房里的妈妈超人——我家宝贝不挑食,¥24.70,青岛出版社,100.0%推荐
2015-10-01,419.,张艺兴,¥56.80,¥9.90,7.1折,http://product.dangdang.com/23777359.html,而立 24 （张艺兴首次记录成长点滴。6万字264页图文，随书赠送“,¥40.20,北京联合出版公司,99.4%推荐
2015-08-01,420.,韩寒,¥35.00,¥4.00,7.4折,http://product.dangdang.com/23751659.html,一个7：我们从未陌生过,¥25.90,浙江文艺出版社,99.8%推荐
2013-07-01,201.,Highlights杂志社,¥160.00,¥48.00,5.9折,http://product.dangdang.com/20948886.html,美国经典专注力培养大书 （全8册）,¥94.40,湖南少年儿童出版社,99.3%推荐
2015-12-01,202.,付守永,¥39.00,,6.5折,http://product.dangdang.com/23811600.html,工匠精神：向价值型员工进化——精装典藏新版，当当全国独家（团,¥25.40,中华工商联合出版社,99.7%推荐
2014-12-01,203.,甘地钟杰,¥22.00,,6.0折,http://product.dangdang.com/23727803.html,甘地自传  中小学生必读丛书 教育部新课标推荐书目,¥13.20,北京联合出版公司,100.0%推荐
2013-01-01,204.,成语大词典,¥99.80,,6.5折,http://product.dangdang.com/22925934.html,成语大词典（彩色本）最新修订版,¥64.90,商务印书馆国际有限公司,99.6%推荐
2016-06-01,205.,郑利强段虹,¥49.80,,6.5折,http://product.dangdang.com/23967348.html,我的第一本地理启蒙书,¥32.40,新世界出版社,98.0%推荐
2016-04-20,206.,莉兹克里莫,¥39.00,¥19.50,7.6折,http://product.dangdang.com/23946089.html,我可以咬一口吗（赠送当当独家授权明信片8张，《你今天真好看》作,¥29.60,天津人民出版社,99.7%推荐
2011-01-01,207.,约翰·赫斯特席玉苹,¥25.00,,5.0折,http://product.dangdang.com/22790242.html,你一定爱读的极简欧洲史,¥12.50,广西师范大学出版社,99.5%推荐
2016-03-15,208.,金一南,¥39.80,,6.7折,http://product.dangdang.com/23910506.html,心胜2——关于灵魂与血性,¥26.60,长江文艺出版社,99.9%推荐
2011-10-01,209.,当年明月,¥252.00,,5.7折,http://product.dangdang.com/22788660.html,明朝那些事儿全套（共9册增补版）,¥144.40,北京联合出版公司,99.5%推荐
2016-04-05,210.,于丹,¥42.00,,7.1折,http://product.dangdang.com/23946544.html,于丹：重温最美古诗词（再版）,¥29.80,北京联合出版公司,99.6%推荐
2014-12-01,211.,房龙寿韶峰,¥22.00,,6.0折,http://product.dangdang.com/23633425.html,音乐的故事（中小学生必读丛书--教育部新课标推荐书目),¥13.20,北京联合出版公司,100.0%推荐
2013-07-01,212.,八月长安,¥55.00,¥6.99,5.0折,http://product.dangdang.com/23277760.html,最好的我们（八月长安全新力作),¥27.50,湖南文艺出版社,99.3%推荐
2012-01-01,213.,周维丽,¥26.00,¥1.00,6.8折,http://product.dangdang.com/22624624.html,别让不好意思害了你,¥17.70,北京理工大学出版社,99.2%推荐
2009-02-01,214.,林汉达雪岗,¥49.00,,5.5折,http://product.dangdang.com/20516559.html,林汉达中国历史故事集（珍藏版）,¥27.00,中国少年儿童出版社,99.5%推荐
2016-05-01,215.,查克·温迪格,¥32.00,¥8.99,6.2折,http://product.dangdang.com/23924505.html,知更鸟女孩（媲美《偷影子的人》《忽然七日》，2016年感动全美的,¥19.90,百花洲文艺出版社,99.6%推荐
2011-06-01,216.,柯维王亦兵,¥39.00,,5.3折,http://product.dangdang.com/23662845.html,高效能人士的七个习惯（精华版）,¥20.50,中国青年出版社,99.3%推荐
2014-09-01,217.,亨利·戴维·梭罗徐迟,¥21.00,,7.1折,http://product.dangdang.com/23573365.html,新课标必读书目 瓦尔登湖,¥15.00,外文出版社,99.1%推荐
2015-08-18,218.,歪歪兔关键期早教项目组,¥90.00,,5.9折,http://product.dangdang.com/20927266.html,歪歪兔行为习惯（全新修订版）系列互动图画书（全10册，赠完整版,¥53.10,海豚出版社,98.8%推荐
2010-08-01,219.,项斯微,¥22.80,,8.0折,http://product.dangdang.com/20915898.html,男友告急,¥18.20,长江文艺出版社,94.6%推荐
